Index	x5	x0	x1	x2	x3	x4
15	8.064021254192431e-12	-9.407158014336839e-10	8.024831722861811e-09	5.445635780776989e-28	-1931209960.0498228	41506647376.77937
16	2.026202596046948e-14	2.320631671429938e-11	1.563085767797203e-08	2.7286719968710638e-27	81182768288.80489	-5465503122.597793
17	8.22409843855753e-12	-7.25420930188006e-10	1.443588684200372e-08	3.621824872149033e-28	42913276247.635056	73193564000.57016
18	-2.363539435841685e-11	-5.813484391733781e-10	2.125504790766796e-08	3.634337317253164e-28	86380525559.03897	77608588795.90337
19	1.0550510608818869e-13	2.0273173356809783e-11	1.3481059859170804e-08	1.3553685523437868e-27	-66367564210.66712	-49934107261.1415
20	7.553620584183334e-12	-1.2631839984454775e-11	3.646333606816176e-08	1.9135635205274423e-28	-11357029220.116596	-21157509669.274178
21	2.9591334359831993e-12	8.15125891849862e-10	4.449597777036288e-08	7.964125159831316e-27	-39394233402.41911	3590369231.2837324
22	-6.558691131202663e-13	1.7771763656834307e-11	1.263108283457238e-08	8.0240995928769845e-28	-28332756585.561768	35061132213.84178
23	-1.7437583810923344e-11	8.030121248240144e-10	1.2053576946200952e-09	1.6548632051460766e-28	-9093302532.435385	20447705984.652256
24	-4.0021850050095987e-13	4.024666846800632e-11	1.8078443162331066e-08	4.205215536149163e-27	-1460993877.3321154	-20843577391.937824
25	7.902059768749465e-09	-5.331443694441119e-10	5.4259061691497163e-08	1.0643213048996927e-28	5339749174.246553	-7931494964.060185
26	-1.5694151076248163e-13	1.9191605470807245e-11	2.685758683233283e-09	3.03354785221006e-28	1644642560.1335576	32944782276.27913
27	-7.000626803265144e-13	1.6719726126744796e-11	1.6570210620441363e-08	1.3652669598775675e-28	-1527294571.6749897	-53861198428.70555
28	5.734005547822084e-14	2.9885488203245507e-10	1.55927720188129e-09	4.50872952577583e-27	43361710777.21208	8817826895.99533
29	-1.424739457168688e-12	-9.066739846706657e-11	2.0999284909077773e-08	1.4392626831779982e-28	-97347601764.55617	13841723113.40634
30	1.8487839959396336e-15	1.9451785813076997e-11	1.7454938345057978e-09	2.0529281151761008e-27	94591116896.20462	-1306221748.1667895
31	-4.180547054118483e-11	-3.820833831044391e-11	8.716122945411524e-09	1.6774573797097597e-28	-17061938801.900726	-15608341784.674088
32	9.719106758996363e-12	2.6852075190819214e-10	4.4019504871284494e-08	1.5920469861079775e-27	27769272310.349434	-2687933006.659807
33	7.0524984605121654e-12	-6.735674007054014e-10	1.2368200192290846e-09	5.141825725352634e-28	1332448741.9598422	-15215467306.713049
34	3.879245958096707e-11	-6.333286641624857e-10	3.153230960416593e-09	1.348289193593598e-27	2628294828.180145	6714876899.044424
35	-2.6362061310855797e-10	-1.2310137458454657e-10	2.1764011041066188e-08	1.2500153679423024e-28	9359192578.458675	2508262860.6997857
36	8.667343285491258e-13	-2.4696261091106196e-11	4.441351684467338e-08	1.5913610235150592e-28	-23198610507.569824	-92143667248.29327
37	1.556745321592764e-14	-9.213037273622316e-11	1.9139170518266553e-09	7.485779616623848e-27	-23090611578.747925	-45235928661.7989
38	4.5395579810612655e-14	2.479543722510464e-11	2.1712848082104693e-09	1.4933061755806471e-27	-31112681749.543697	13183543434.16916
39	-9.546839859176184e-14	6.45087607713598e-11	4.944783365693751e-09	1.0814314923997904e-27	2303681901.751464	55632211553.19508
40	-3.7632995805278446e-12	-8.120827960840572e-10	2.924190928955276e-08	6.152995882203726e-27	-32151095181.911583	-2856152804.2006025
41	-1.8437204795582093e-15	-1.1869128012497844e-11	3.12289102085669e-09	6.522124371517544e-27	55529909300.27787	-1073847087.9709346
42	6.040444391162897e-14	1.4355167174860375e-10	2.8507524661395054e-09	3.1424197475358346e-27	-46552644447.72268	-3349417582.3538885
43	-3.7934564188745553e-13	-2.996094814930741e-11	3.3756581132839586e-08	4.507471731671453e-28	-76945890508.53712	2406372010.2373385
44	-6.104038199319689e-13	3.80774752049192e-11	4.683022405346794e-08	5.535277637982552e-27	-1228432091.8690429	-23005881259.891266
45	5.691515881145861e-12	-6.250754240738056e-11	9.836737533977765e-09	4.2953270929193305e-28	-9411508475.859562	18441497809.112003
46	-7.253503975920979e-12	-1.6502534304863638e-11	5.4483824977597534e-08	1.360413689828546e-27	-9906891998.27402	-2651323161.939872
47	-8.365261344948474e-10	-3.748899682583124e-10	6.758105262703204e-08	3.7601040626094e-27	-3245942881.2158337	-1575260216.9040685
48	-2.6407380378035947e-13	-7.978433158293092e-11	9.187306080391774e-09	7.070817702986312e-28	-62731768322.74686	-3103459861.8635287
49	1.3605155758777082e-13	-1.6274089484086007e-10	7.366011254563366e-09	4.41859819985958e-27	2219239993.551564	-44710155489.38994
